modelis,tau,fpr,ataku_aptikta,macro_f1,tikslumas
MLP (bazinis),0.99998415,6.666666666666667e-05,0.7757752421243311,0.4249315986783484,0.6421758163845767
MLP (bazinis),0.99999,6.666666666666667e-05,0.7747519999082808,0.42358063372489263,0.6413211648543108
MLP (bazinis),0.99999369,6.666666666666667e-05,0.7737029616699772,0.42214114809317815,0.640496742156305
MLP (bazinis),0.99999602,6.666666666666667e-05,0.7725908664883875,0.42071908159789917,0.6395761368101986
MLP (bazinis),0.99999749,6.666666666666667e-05,0.7712236773089589,0.41971595863307765,0.6384191969573306
MLP (bazinis),0.99999842,6.666666666666667e-05,0.769673049749062,0.4185783447808663,0.6370726398839213
MLP (bazinis),0.999999,0.0,0.767901722887664,0.41663194649552293,0.6355282213629906
MLP (suderintas),0.5,0.4815333333333333,0.9845080555245048,0.6283508228432132,0.7799588338266129
MLP (suderintas),0.55,0.4372,0.9813093487650871,0.630534563302794,0.7804479912940963
MLP (suderintas),0.6,0.3893333333333333,0.9773568249109321,0.6324208137824823,0.7809151641562996
MLP (suderintas),0.65,0.33813333333333334,0.972077239023076,0.6336545306237704,0.7812064601762616
MLP (suderintas),0.7,0.28226666666666667,0.9651667712838681,0.6336808471337175,0.780829973810839
MLP (suderintas),0.75,0.2286,0.9558200125540641,0.6324828926584241,0.7792663187602881
MLP (suderintas),0.8,0.1756,0.9437618052629618,0.6290922399701783,0.7758944299254447
MLP (suderintas),0.85,0.12153333333333333,0.9281466131255893,0.6234985353340979,0.7705631631450077
MLP (suderintas),0.9,0.0682,0.9059734988864717,0.6155656903753324,0.7618984805889676
MLP (suderintas),0.93690427,0.0348,0.8851188480069706,0.6081884242722616,0.7532063172763273
MLP (suderintas),0.96018928,0.018133333333333335,0.8688386917404003,0.6020385444832211,0.745967885987837
MLP (suderintas),0.97488114,0.010266666666666667,0.8583741053796171,0.5967080636944585,0.7408976863951018
MLP (suderintas),0.98415107,0.006733333333333333,0.8503228802118713,0.5905676943391325,0.7365749633818919
MLP (suderintas),0.99,0.003933333333333333,0.8444528520368826,0.5853132668677081,0.732999716948207
MLP (suderintas),0.99369043,0.002533333333333333,0.839307978709683,0.5805099730455608,0.7295783627514832
MLP (suderintas),0.99601893,0.0014666666666666667,0.8351089595317736,0.5759917553263894,0.7264428084234015
